rule_uid	file_id	perseus_author	perseus_title	period	criteria	rule	group	resource	directionality	verbatim	reasoning	contemporary	factuality	confidence	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning	work_author_polity_cliopatria	work_polity	work_polity_reasoning	work_time_reference	work_time_start	work_time_end	work_time_reasoning	rule_polity	rule_polity_reasoning	rule_date	rule_time_reasoning	year	genre
tlg0004.tlg001.perseus-eng2::126	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Freedom']	Freedom from enslavement for philosophers	Philosophers	Right to be manumitted by peers	MORE	['He is believed to have been sold into slavery by [... and to have been set free by] the Pythagoreans Parmeniscus and Orestades: so Favorinus in the first book of his Memorabilia.']	While Xenophanes was sold into slavery, the text indicates a social convention or specific act where members of a philosophical school (Pythagoreans) acted to restore the freedom of a fellow intellectual, suggesting a degree of mutual protection among certain groups.	0	1	7.0	5	Freedom from slavery is the ultimate material resource of bodily autonomy.	5	Legal personhood/freedom is a foundational societal axis.	5	Manumission results in a permanent change in legal status (freedman).	3	Philosopher is a chosen social identity/occupation.	1	Refers to a historical anecdote from the life of Xenophanes.	4	Reported as a factual event ('is believed to have been sold').	0	Being a philosopher does not define one as legally free.		Greek philosophical tradition (pan-Hellenic)	The work documents the lives and doctrines of major Greek philosophical schools across various poleis.	past	-600.0	300.0	Spans from the Pre-Socratics (c. -600) to the early 3rd century CE, well before the author's likely floruit.	Classical Greece	The event involves Pythagorean communities across the Greek world acting to free Xenophanes.	-500	Xenophanes of Colophon lived c. -570 to -475; -500 represents his floruit and period of wandering.	210	
tlg0026.tlg003.perseus-eng2::15	tlg0026.tlg003.perseus-eng2	Aeschines	Against Ctesiphon	Late Classical (354–165 BCE)	['Citizenship']	Magistrate selection and voting rights	Citizens	Eligibility for the archonship	MORE	['It was in the archonship of Theophrastus; 340/39 b.c. Diognetus of Anaphlystus was our hieromnemon; as pylagori you elected Meidias of Anagyrus, whom you all remember—I wish for many reasons he were still living—and Thrasycles of Oeum; I was the third.']	The text identifies specific Athenian citizens by their demes (Anaphlystus, Anagyrus, Oeum) who were elected by the citizen body to high offices (Archon, Hieromnemon, Pylagori). This demonstrates that the resource of holding high political and religious office was reserved for citizens.	1	1	10.0	4	Holding high office grants control over state resources and law.	4	Eligibility for the archonship is a major political right.	5	Eligibility for office is a lifelong structural feature of citizen status.	4	Athenian citizenship is a structural legal birth-status.	0	Describes the contemporary election of officials in recent years.	5	Lists specific individuals and their election as plain historical fact.	0	Office eligibility is an attribute of citizenship, not its definition.								Classical Athens	The text names the Athenian Archon and citizens represented by their specific Athenian demes (Anaphlystus, Anagyrus).	-339	The verbatim explicitly dates the archonship of Theophrastus to 340/339 BCE.	-354	
tlg0004.tlg001.perseus-eng2::71	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Occupation']	Philosopher right of residence	Philosophers	Right of residence	LESS	['The next year, however, the philosophers returned, as Philo had prosecuted Sophocles for making an illegal proposal. Whereupon the Athenians repealed the law, fined Sophocles five talents, and voted the recall of the philosophers, in order that Theophrastus also might return and live there as before.']	The repeal of Sophocles' law and the subsequent 'recall' of the philosophers confirms that the preceding rule effectively forced the entire group into exile, as they could no longer practice their occupation.	0	1	9.0	5	Freedom of movement and residency in a city (Athens) are material rights.	5	The right of residency is a foundational civil right.	4	Holds as long as the repeal stands and the individuals remain.	3	Occupation identity.	1	Historical account of the repeal of Sophocles' law.	5	Reports the repeal and voting as factual events.	0	Residency is not definitionally tied to philosophy.		Greek philosophical tradition (pan-Hellenic)	The work documents the lives and doctrines of major Greek philosophical schools across various poleis.	past	-600.0	300.0	Spans from the Pre-Socratics (c. -600) to the early 3rd century CE, well before the author's likely floruit.	Classical Athens	The repeal of the law and the recall of the philosophers (including Theophrastus) was an action of the Athenian assembly.	-306	Sophocles' law was repealed and the philosophers were recalled to Athens in the year following its enactment, -306.	210	
tlg0007.tlg093.perseus-eng3::2	tlg0007.tlg093.perseus-eng3	Plutarch	Can Virtue Be Taught?	Hellenistic & Early Roman (165 BCE – 105 CE)	['Freedom']	Enforced slave blinding in Scythia	Slaves	Protection from physical mutilation	LESS	['For the Scythians, as Herodotus says, blind their slaves that these may hand over the cream to themselves; but such a man as this gives Reason, like an eye, as it were, to the subservient and ancillary arts, while denying it to virtue.']	While referencing Herodotus (historical), Plutarch cites this as a known rule/practice of a specific society (the Scythians) where slaves are systematically blinded to serve a domestic function (preventing them from stealing cream). This highlights the lack of physical protection for the slave group.	0	1	10.0	5	Blinding is a permanent physical mutilation and loss of bodily integrity.	4	Protection from mutilation is a major category of physical security.	5	The loss of sight is a permanent, lifelong material state.	4	Slave status is a structural legal condition extremely hard to change.	1	Cites Herodotus regarding a foreign, ancient 'Scythian' custom.	4	Reported as an ethnographic fact (even if likely mythical), used for analogy.	0	Slavery does not inherently mean being blinded; it is a specific cultural rule.	Roman Empire;(Roman Empire)	Classical Greek poleis	A philosophical inquiry into the nature of virtue, heavily citing Classical Greek thinkers.	past	-450.0	-300.0	Focuses on the pedagogical debates of the Sophists and Socratic schools in the 5th-4th centuries BCE.	Scythia	The verbatim explicitly identifies this as a practice of the Scythians, as recorded by Herodotus.	-440	Plutarch cites Herodotus (fl. -440), who recorded Scythian customs during the 5th century BCE.	75	
tlg0007.tlg082b.perseus-eng2::3	tlg0007.tlg082b.perseus-eng2	Plutarch	Sayings of Spartan Women	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Execution of cowards by mothers	Women	Political power	MORE	['Damatria heard that her son had been a coward and unworthy of her, and when he arrived, she made away with him. This is the epigram Referring to her: Sinner against our laws, Damatrius, slain by his mother, Was of the Spartan youth; she was of Sparta too.']	The text describes a mother killing her son for cowardice and frames this action as consistent with being 'of Sparta' and enforcing 'our laws'. This indicates a social norm where women were empowered/expected to enforce the city's military code within the family even unto death.	0	1	9.0	5	Power of life and death is the most concrete material force possible.	3	Specific to military code enforcement and domestic homicide.	2	Action relates to a single episode of cowardice.	5	Gender and ethnicity ('of Sparta') are fixed.	1	Historical anecdote from Sparta's military past.	4	Reports the event as an instantiation of 'our laws'.	0	Motherhood does not include the power to execute offspring.	Roman Empire;(Roman Empire)	Classical Sparta; Archaic Sparta	A collection of sayings attributed to Spartan women, documenting their unique social status and laconic wit.	past	-700.0	-200.0	Documents the traditional sayings of Spartan women from the legendary past through the Hellenistic era.	Classical Sparta	The rule describes the enforcement of Spartan military honor codes (cowardice laws) by family members.	-450	Midpoint of the work's span, representing the peak period of documented rigorous Spartan traditionalism.	75	
tlg0026.tlg001.perseus-eng2::15	tlg0026.tlg001.perseus-eng2	Aeschines	Against Timarchus	Late Classical (354–165 BCE)	['Freedom']	State slave right to sue	Slaves	Right to bring legal suit	MORE	['the fellow, angry at their insolent treatment, brings a suit against each of them. Proceedings in court in behalf of an ordinary slave would be conducted by his master in his own name; but Pittalacus was a state slave (Aeschin. 1.54). Probably he would have to bring suit under the name of some citizen as his protector (προστάτης).']	While regular slaves could not sue, state slaves (demosioi) like Pittalacus had the specific resource of legal recourse against those who harmed them, albeit requiring a citizen protector.	1	1	8.0	4	The right to bring a suit is a concrete legal right with potential material payoffs.	3	A specific legal procedure (bringing suit) for a specific sub-group (state slaves).	4	The status of being a state slave was typically long-term or lifelong.	4	Slave vs. state slave is a structural legal birth-status, very hard to change.	0	Refers to a known contemporary Athenian legal distinction.	5	Verbatim cites the different legal standing of ordinary vs. state slaves as fact.	0	Freedom to sue is not part of the definition of 'slave' (usually the opposite).								Classical Athens	The text discusses the specific legal status of 'demosioi' (state slaves) within the Athenian judicial system.	-345	The speech Against Timarchus was delivered in 345 BCE, describing the contemporary legal standing of state slaves.	-354	
tlg0062.tlg011.perseus-eng2::2	tlg0062.tlg011.perseus-eng2	Lucian of Samosata	Octogenerians	High Roman Empire (135–205 CE)	['Occupation']	Slave obedience to master demands	Servants	Right to refuse service	LESS	['calling his servant and telling him, along with a great and hearty laugh, to give the donkey also a sup of wine, he choked with his laughter and died.']	The text describes a poet (Philemon) commanding a servant to perform a whimsical and non-essential task (giving wine to a donkey), which the servant is expected to obey. This reflects the social rule where individuals of the 'servant' occupation group lack the right to refuse service or exercise autonomy over their labor when commanded by their master.	0	1	7.0	5	Control over one's own labor and body (subsistence) is material.	4	The right to refuse service/autonomy is a broad structural outcome.	5	Slave/servant status is usually lifelong and structural.	4	Servant/slave status is a hard-to-change legal birth-status/condition.	1	Refers to the death of Philemon, a figure from the past.	5	Describes the master-servant dynamic as an unremarkable, observed fact.	1	A servant by definition is one who must obey orders; the rule is tautological.								Classical Athens	Philemon was a 4th-3rd century BCE Athenian playwright; the rule pertains to slave-master relations in that setting.	-262	Dated to the approximate year of Philemon's death, which Lucian is recounting as a historical anecdote.	155	
tlg0004.tlg001.perseus-eng2::17	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Lineage', 'Gender']	Guardian marriage restriction	Guardians	Right to marry certain women	LESS	['Excellent, too, is his provision that the guardian of an orphan should not marry the mother of his ward, and that the next heir who would succeed on the death of the orphans should be disqualified from acting as their guardian.']	Solonian law restricted the marital choices of guardians and the eligibility for guardianship based on inheritance interests to protect the orphan's resources.	0	1	9.0	4	Restricting marriage has direct effects on kinship, inheritance, and social status.	3	Right to marry certain people is a specific legal/social boundary.	4	Guardianship is a long-term role during a ward's minority.	2	Being a 'Guardian' is a role-bound legal appointment, not an immutable trait.	1	Cites historical Solonian legislation.	5	Describes the terms of a specific and 'excellent' historical provision.	0	The role of guardian does not inherently include marital restrictions.		Greek philosophical tradition (pan-Hellenic)	The work documents the lives and doctrines of major Greek philosophical schools across various poleis.	past	-600.0	300.0	Spans from the Pre-Socratics (c. -600) to the early 3rd century CE, well before the author's likely floruit.	Archaic Athens (Solonic)	The rule regarding guardian matches and orphan protection is part of the Solonic legal code for Athens.	-594	Solon's legislation in Athens is traditionally dated to 594 BCE.	210	
tlg0026.tlg001.perseus-eng2::39	tlg0026.tlg001.perseus-eng2	Aeschines	Against Timarchus	Late Classical (354–165 BCE)	['Gender', 'Citizenship']	Prostitute exclusion from public spaces	Men	Right to enter the market-place and wear garlands	LESS	['For who will not say, And then do you thrust yourself into the market-place, do you put on a garland, do you attempt to do anything else that the rest of us do? His contract, you see, is of no use to him.']	Aeschines describes the social and legal exclusions faced by those who have prostituted themselves; they are barred from the agora (market-place) and from symbolic honors like wearing garlands, which were restricted to citizens in good standing.	1	1	9.0	3	Access to public physical spaces (agora) and symbolic dress (garlands).	3	Scope is limited to specific spaces and ceremonial protocols.	5	This social exclusion for 'prostitutes' was generally permanent.	5	Male sex is fixed; the rule targets male citizens.	0	Active civic practice described by the author.	4	Fact reported with a rhetorical question framing.	0	Male identity does not define access to garlands.								Classical Athens	The exclusion of those who had lost their reputation through prostitution from the agora was a specific Athenian civic penalty.	-345	Aeschines describes this restriction as an active part of the Athenian penal system in 345 BCE.	-354	
tlg0540.tlg020.perseus-eng2::1	tlg0540.tlg020.perseus-eng2	Lysias	For Polystratus	Classical (500–360 BCE)	['Wealth / Properties']	Liturgy obligation for the wealthy	The wealthy	Right to retain own wealth	LESS	['Then, when he might well have put his fortune away out of sight and refused to help you, he preferred that you should have cognizance of it, in order that, even if he chose to play the knave, he could have no chance, but must contribute to the special levies and perform his public services.']	The passage highlights the requirement for wealthy citizens (those whose fortunes are known to the state) to fund special levies (eisphora) and perform public services (liturgies), effectively reducing their private resources for public benefit.	1	1	10.0	5	Special levies (eisphora) and liturgies are tangible financial extractions.	4	Liturgy obligations are a major recurring structural axis for the wealthy.	4	The obligation persists as long as the member remains within a wealth bracket.	3	Wealth is a durable identity but changeable through loss of property.	0	Describes the contemporary Athenian liturgical system.	5	Cites the necessity to perform public services as a factual legal requirement.	0	Wealth does not define the obligation to perform specific state services.								Classical Athens	The liturgy system (public services) and eisphora (special levies) were central to Athenian state finance for the wealthy.	-410	Dated to the approximate time of the trial of Polystratus (-410), following the restoration of democracy after the Four Hundred.	-409	
tlg0535.tlg001.perseus-eng2::2	tlg0535.tlg001.perseus-eng2	Demades	On the Twelve Years	Late Classical (354–165 BCE)	['Citizenship']	Legal procedure differentiation	Athenians	Access to specific judicial venues	MORE	['Each offence is dealt with in its own particular way some call for the council of the Areopagus, some for lesser courts, others for the Heliaea. All these are distinguished in name, circumstance, time, penalty, procedure, and in the number of the jury.']	The text describes the established legal system where different types of offenses are assigned to specific courts (Areopagus, Heliaea), ensuring that the accused (citizens) are processed according to defined jurisdictional rules.	1	1	10.0	4	Access to specific courts (Heliaea, Areopagus) is a concrete legal right with direct material consequences for the accused.	4	Jurisdictional rules for all offenses cover a broad category of legal protections.	2	Venue access is tied to the duration of a specific legal episode or trial.	4	Athenian citizenship is a structural birth-status, very difficult to change.	0	Demades describes the current functioning of the Athenian judicial system.	5	Verbatim provides a factual description of existing, named legal institutions.	0	The specific jurisdictional mapping is not part of the definition of an Athenian.								Classical Athens	The text describes the specific judicial venues and juries characteristic of the 4th-century BCE Athenian legal system.	-322	Demades was an Athenian orator and politician active in the late 4th century BCE; -322 marks the height of his influence.	-345	
tlg0019.tlg011.perseus-eng1::3	tlg0019.tlg011.perseus-eng1	Aristophanes	Plutus	Classical (500–360 BCE)	['Wealth / Properties']	Liturgy obligation for the wealthy	The wealthy	Freedom from compulsory public financing	LESS	['CARIO. And tell me, is it not you who equip the triremes?']	The mention of equipping triremes refers to the Athenian 'trierarchy', a liturgy where wealthy citizens were legally required to fund and maintain a warship.	1	1	9.0	5	Financing triremes (liturgies) is a direct, substantial wealth-based expenditure.	4	Liturgy obligations were a broad category of public financing in Athens.	4	Obligations last as long as one remains in the requisite wealth bracket.	3	Wealth brackets are durable but changeable identities.	0	Refers to the actual Athenian trierarchy system of the 4th century BCE.	5	The 'equipping of triremes' is an attested historical fact mentioned as common knowledge.	0	Being wealthy does not by definition mean one is legally required to fund warships.								Classical Athens	The 'trierarchy' mentioned was a specific liturgy of the Athenian state where wealthy citizens were required to fund warships.	-388	The play was performed in 388 BCE; the trierarchy remained a central, albeit burdensome, institution of that time.	-409	Old Comedy
tlg0014.tlg019.perseus-eng2::2	tlg0014.tlg019.perseus-eng2	Demosthenes	On the Embassy	Late Classical (354–165 BCE)	['Occupation']	Death penalty for unauthorized diplomacy	Ambassadors	Protection from capital punishment	LESS	['off marched this wise, clever, smooth-tongued gentleman, without waiting for Council or Assembly to reappoint him, on his embassy to the court of the chief malefactor. He forgot that he had sworn that he was too ill to travel; forgot that another ambassador had been chosen in his stead, and that the law visits such conduct with death']	Demosthenes cites a specific Athenian law that mandates the death penalty for an individual who acts as an ambassador or continues an embassy without a valid, current appointment or after formally declining the post on oath.	1	1	9.0	5	The resource is life itself (protection from capital punishment/death).	4	The death penalty is a foundational legal consequence of the highest order.	5	Death is a permanent/lifelong consequence once enacted.	2	Ambassador is an episodic role-bound status.	0	Cites an existing Athenian statute in force at the time of the trial.	5	Plain citation of a specific law and the conduct it visits with death.	0	The definition of an ambassador does not inherently include the death penalty.								Classical Athens	The verbatim cites the Athenian law regarding the unauthorized continuation of a diplomatic mission.	-343	Demosthenes cites this existing capital statute during his prosecution of Aeschines in 343 BCE.	-348	
tlg0059.tlg011.perseus-eng2::3	tlg0059.tlg011.perseus-eng2	Plato	Symposium	Classical (500–360 BCE)	['Citizenship', 'Gender']	Lover protection of freeborn women	Women	Protection from pursuit by popular lovers	MORE	['Good men, however, voluntarily make this law for themselves, and it is a rule which those popular lovers ought to be forced to obey, just as we force them, so far as we can, to refrain from loving our freeborn women.']	Pausanias refers to a social compulsion or 'rule' in Athens that forces men to refrain from pursuing freeborn women, contrasting this established protection with the lack of similar legal protections for boys.	1	1	9.0	5	Protection from sexual pursuit/harassment is an intensely personal bodily entitlement.	4	Covers a foundational entitlement (protection of free women's honor/bodies).	5	The status of being a 'freeborn woman' is a lifelong legal condition.	5	Group is defined by the intersection of biological sex and birth-status.	0	Explicitly mentions the current forced obedience of 'popular lovers' in Athens.	4	Reports an actual social force/constraint used in the community.	0	Being freeborn doesn't tautologically entail protection from lovers.								Classical Athens	Pausanias explicitly mentions the compulsion to refrain from pursuing freeborn women as a social norm in Athens.	-385	As part of the andron culture described in the Symposium, this is dated to the work's period of composition around 385 BCE.	-393	Socratic dialogue
tlg0007.tlg013.perseus-eng2::6	tlg0007.tlg013.perseus-eng2	Plutarch	Fabius Maximus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Magistrate command rotation	Consuls	Right to supreme command	LESS	['But Terentius, insisting on his right to command a day in turn, and then encamping over against Hannibal by the river Aufidus amid the town called Cannae, at break of day put out the signal for battle,—a scarlet tunic displayed above the general’s tent.']	The text describes a specific Roman legal/military convention where two colleagues in the consulship alternate supreme command on a daily basis. This limits the individual magistrate's access to the resource of 'supreme command' to every other day.	0	1	10.0	4	Supreme military command involves control over all resources of the state in war.	4	Supreme command is a major category of political/military authority.	2	The command rotates daily, making it a very transient access.	2	Consuls are annual magistrates; command is even more episodic.	1	Refers to historical Roman constitutional practice during the Punic War.	5	Reports the rotation as a legal right/insistence of the historical consul.	0	The consulship is defined by shared authority, but not specifically daily rotation.	Roman Empire;(Roman Empire)	Middle Roman Republic	Narrates the life of Fabius Maximus, known for his 'Fabian strategy' against Hannibal.	past	-280.0	-203.0	Covers the life of Fabius Maximus from his birth (~-280) to his death in -203 BCE.	Middle Roman Republic	Describes the rotation of command between Consuls Terentius Varro and Lucius Aemilius Paullus.	-216	The rotation of command led directly to the Battle of Cannae in -216.	75	
tlg0014.tlg053.perseus-eng2::0	tlg0014.tlg053.perseus-eng2	Demosthenes	Apollodorus Against Nicostratus	Late Classical (354–165 BCE)	['Wealth / Properties']	Citizen risk for malicious indictment	Wealthy	Right to indict on own behalf	LESS	['For, I take it, if I had wished to bring a malicious suit, I should not have listed slaves worth two minae and a half, the sum at which the claimant himself has fixed their value, and myself have run the risk of losing a thousand drachmae, and forfeiting the right ever again to indict anyone on my own behalf.']	The author refers to a standard legal penalty in the Athenian court system where a prosecutor who fails to obtain a minimum of one-fifth of the votes (implying a malicious or baseless suit) faces a fine and the loss of future right to bring similar indictments.	1	1	10.0	4	The right to indict is a fundamental legal power with material impact.	3	Specific to a particular legal threshold/penalty (1/5th vote).	5	Loss of the right is phrased as 'ever again', implying permanence.	4	The group is defined by citizenship/legal standing.	0	Describes a foundational penalty in the current Athenian court system.	5	Describes the risk ('losing a thousand drachmae, and forfeiting') as a known fact.	0	Being wealthy or a citizen does not mean you have lost the right to indict.								Classical Athens	The risk of a 1,000 drachmae fine for failing to get a fifth of the votes is a hallmark of Athenian 'public' legal actions.	-340	The speech Against Nicostratus is generally dated to the late 340s or early 330s BCE; -340 is a representative date.	-348	
tlg0007.tlg034.perseus-eng2::2	tlg0007.tlg034.perseus-eng2	Plutarch	Comparison of Lysander and Sulla	Hellenistic & Early Roman (165 BCE – 105 CE)	['Wealth / Properties']	Confiscation of wealthy estates	The wealthy	Right to retain property	LESS	['In these courses he so mortgaged and emptied the city of her wealth that he sold to allied and friendly cities their freedom and independence for money, although he was daily confiscating and selling at public auction the wealthiest and greatest estates.']	During Sulla's rule, the wealthy were targeted for property confiscation to fund the state or reward followers, indicating a loss of property rights based on their wealth status.	0	1	9.0	5	Right to property/estates is a tangible material wealth resource.	5	Wealth/property is a foundational societal axis.	5	Loss of an estate through confiscation is a permanent/structural loss.	3	The wealthy are defined by a wealth bracket, which can change.	1	Describes the proscriptions/confiscations during Sulla's rule.	5	Describes the public auction and confiscation of estates as factual events.	0	Retaining property is not part of the definition of being wealthy.	Roman Empire;(Roman Empire)	Classical Sparta; Late Roman Republic	Compares the Spartan general Lysander with the Roman dictator Lucius Cornelius Sulla.	past	-454.0	-78.0	Spans from the birth of Lysander (~-454) to the death of Sulla in -78.	Late Roman Republic	The rule concerns Sulla's proscriptions and the confiscation of estate property from the Roman elite.	-82	Sulla's proscriptions and property auctions began in earnest in -82 BCE after his victory at the Colline Gate.	75	
tlg0007.tlg034.perseus-eng2::1	tlg0007.tlg034.perseus-eng2	Plutarch	Comparison of Lysander and Sulla	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Citizen sumptuary and marriage regulations	Citizens	Freedom from lifestyle restrictions	LESS	['But Sulla allowed neither the poverty of his youth to set bounds to his desire; nor the years of his old age, but continued to introduce marriage and sumptuary laws for the citizens, while he himself was living in lewdness and adultery, as Sallust says.']	The text identifies Sulla's enactment of specific laws (sumptuary and marriage) that restricted the personal freedom and material expenditure of the Roman citizen body.	0	1	10.0	4	Marriage and sumptuary laws have direct material effects on spending/wealth.	4	Covers a broad class of life outcomes (expenditure and family law).	4	Legislation imposes long-term constraints while the laws remain in force.	4	Citizenship is a hard-to-change legal birth-status.	1	Refers to the dictatorship and legislation of Sulla.	4	Reports Sulla's enactment of laws as a historical fact.	0	Being a citizen does not inherently define one's marriage laws.	Roman Empire;(Roman Empire)	Classical Sparta; Late Roman Republic	Compares the Spartan general Lysander with the Roman dictator Lucius Cornelius Sulla.	past	-454.0	-78.0	Spans from the birth of Lysander (~-454) to the death of Sulla in -78.	Late Roman Republic	The rule describes sumptuary and marriage laws enacted by Sulla in Rome.	-81	Sulla enacted his extensive legislative program during his dictatorship in -81 BCE.	75	
tlg0027.tlg004.perseus-eng2::1	tlg0027.tlg004.perseus-eng2	Andocides	Against Alcibiades	Classical (500–360 BCE)	['Citizenship']	Ostracism procedure at Athens	Citizens	Protection from ten-year exile	LESS	['is to decide whether one who has done the state no wrong is to spend ten years in exile. The competitors for that prize are Alcibiades, Nicias, and myself. Upon one of us the blow must fall. [...] when the person ostracized is to be cut off from his country for so long, no accusation has been made, no defence allowed, and the voting is secret.']	The passage describes the legal mechanism of ostracism, which allows the citizen body to exile a person for ten years without a formal accusation or defense, effectively reducing their protection from displacement.	1	1	10.0	4	Exile involves loss of property, residency, and civic rights.	4	Ostracism is a significant broad-reach political procedure.	4	The exile is specifically mandated for a 10-year term.	4	Citizens are the only group subject to/users of ostracism.	0	Describes the current Athenian procedure of ostracism.	5	Describes the factual legal mechanism of ostracism in Athens.	0	Ostracism is a legal process, not the definition of being a citizen.								Classical Athens	Ostracism was a uniquely Athenian institution used to exile prominent citizens without a trial.	-416	The verbatim refers to the last historical instance of ostracism in Athens, occurring in 416 BCE.	-500	
tlg0007.tlg028.perseus-eng2::0	tlg0007.tlg028.perseus-eng2	Plutarch	Titus Flamininus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Age']	Military training for young men	Minors	Access to military education	MORE	['From his earliest years he was trained in the arts of war, since at that time Rome was carrying on many great contests and her young men from the very outset were taught by service as soldiers how to command soldiers.']	Plutarch describes a general societal practice during the Roman Republic (specifically during the Second Punic War) where young men were systematically integrated into military service as part of their education and social development.	0	1	10.0	3	Military education leads to professional roles with tangible outcomes.	4	Foundational societal axis for Roman youth development.	3	Resource is bounded to the life stage of youth/young adulthood.	5	Age (minors) is biologically fixed at a given moment.	1	Describes the Roman Republic (2nd Punic War) era.	4	Describes a general societal practice as factual historical context.	0	Military training is a societal right, not part of the definition of 'minor'.	Roman Empire;(Roman Empire)	Middle Roman Republic; Macedonian kingdom	Documents the life of the Roman general who defeated Philip V of Macedon.	past	-229.0	-174.0	Covers the lifetime of Titus Quinctius Flamininus from birth to death.	Middle Roman Republic	Plutarch describes the Roman training and military culture during the Second Punic War.	-218	The Second Punic War began in -218, a period of 'great contests' mentioned in the verbatim during Flamininus' youth.	75	
tlg0540.tlg010.perseus-eng2::1	tlg0540.tlg010.perseus-eng2	Lysias	Against Theomnestus 1	Classical (500–360 BCE)	['Citizenship']	Slander penalty for specific terms	Citizens	Protection from slander	MORE	['if anyone asserts that a man has thrown it [his shield] away, he shall be liable to penalty', 'How monstrous it is, then, that when you have to avenge yourself on your enemies for slander you take the laws in the sense that I do now... you have taken proceedings yourself against Lysitheus for slander, because he said that you had cast your shield: yet there is nothing in the terms of the law about casting, whereas, if anyone says, that a man has thrown away his shield, it imposes a penalty of five hundred drachmae.']	The author cites a specific law (dike kakegorias) that protects citizens from certain forbidden terms (aporreta), specifically the accusation of throwing away one's shield in battle. The penalty of five hundred drachmae is explicitly mentioned as the legal resource (monetary redress) for the victim.	1	1	10.0	5	A penalty of 500 drachmae is a tangible monetary transfer.	3	Relates to a specific recurring legal action for slander (dike kakegorias).	2	Applies to the duration of a single trial and its one-time payout.	4	Citizenship is a hard-to-change legal birth-status.	0	The author discusses a law currently in force in his own city.	5	The verbatim quotes the specific legal penalty (500 drachmae) as an established fact.	0	Protection from slander is not part of the definition of citizenship.								Classical Athens	The 'dike kakegorias' (action for slander) and the 500 drachmae fine are specific features of the Athenian legal system.	-384	Dated to the approximate floruit of Lysias (-384), reflecting contemporary Athenian statutes on actionable insults.	-409	
