rule_uid,file_id,work_name,author,impact_year,polity,criteria,sampled_for,is_contemporary,verbatim_type,factuality,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,rule_category,reasoning,group_generality,generality_reasoning,resource_materiality,materiality_reasoning,resource_generality,resource_generality_reasoning,resource_persistence,persistence_reasoning,group_immutability,immutability_reasoning,tautological,tautology_reasoning,confidence,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,vote,comment
tlg0027.tlg004.perseus-eng2::11,tlg0027.tlg004.perseus-eng2,Against Alcibiades,Andocides,-500,,Wealth / Properties,gemini_v20_sample60_round4,0,fact,5,Wealthy citizen liturgy obligation,Wealthy citizens,,Right to retain own earnings,,LESS,"Of my public services I do not intend to speak. I will say only this: the expenditure required of me I meet, not from monies belonging to the state, but from my own pocket. And yet I have in fact gained victories in the contest of physique, in the torch-race, and at the tragic competitions without striking rival Choregi, and without feeling shame at my possessing less power than the laws.",,,"The author refers to 'public services' (liturgies) and 'expenditure required of me' which he must pay from his 'own pocket' (private wealth). This describes the Athenian system where wealthy citizens were legally mandated to fund state competitions and festivals, thereby losing a portion of their private wealth to the state.",,,5,Paying from 'own pocket' involves the direct loss of private money.,4,Liturgy obligations are a broad recurring category of wealth redistribution.,4,"As long as one remains in the top wealth bracket, the susceptibility to liturgy remains.",3,Wealthy citizen is a durable status but fundamentally changeable through economic loss.,0,Wealth does not definitionally include the obligation to fund state tragic competitions.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0007.tlg014.perseus-eng2::0,tlg0007.tlg014.perseus-eng2,Comparison of Pericles and Fabius Maximus,Plutarch,75,,Citizenship|Nobility|Lineage,gemini_v20_sample60_round4,1,fact,5,Ostracism and banishment of elites,Prominent citizens,,Protection from arbitrary banishment,,LESS,"Nevertheless, the courteous and gentle conduct of Fabius towards Minucius contrasts forcibly with the factious opposition of Pericles to Cimon and Thucydides, who were both good and true men and of the highest birth, and yet were subjected by him to ostracism and banishment.",,,"The text identifies that in Pericles' Athens, even high-born, prominent citizens (Cimon and Thucydides) were subject to ostracism and banishment, indicating a systematic lack of protection for one's right to remain in the city if they were political rivals to the leading statesman.",,,5,"Banishment involves loss of home, land, and access to one's wealth and community.",5,Protection from exile is a foundational aspect of legal personhood.,4,Ostracism was typically a 10-year (long-term) but revocable status.,3,Prominence/high-birth is hard to change but involves social standing and reputation.,0,Being 'prominent' is not defined by being banished.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0062.tlg045.perseus-eng2::10,tlg0062.tlg045.perseus-eng2,The Dance,Lucian of Samosata,155,,Occupation|Education,gemini_v20_sample60_round4,0,fact,4,Dancer comprehensive mythological knowledge mandate,Pantomime dancers,,Access to professional certification,,LESS,"Beginning with Chaos and the primal origin of the world, he must know everything down to the story of Cleopatra the Egyptian. ... Let this be the range we prescribe for the dancer’s learning, and let him know thoroughly all that lies within it: the castration of Uranus, the begetting of Aphrodite, the battle of the Titans...",,,"Lucian outlines the 'prescribed' intellectual requirements for a professional dancer, establishing a rule that the practitioner must possess an exhaustive memory of classical mythology from the origin of the world to the end of the Ptolemaic era.",,,3,Mythological knowledge is an intellectual requirement for professional qualification and practice.,3,Covers an exhaustive range of themes applicable across many performances.,4,This baseline of knowledge is a permanent requirement for professional standing.,3,Professional role; learning is the process of entering the group.,0,Being a dancer does not inherently define knowing the history of Cleopatra.,9.0,gemini_v20_core_v1_random100,,,,down,
tlg0004.tlg001.perseus-eng2::103,tlg0004.tlg001.perseus-eng2,Lives of Eminent Philosophers,Diogenes Laertius,210,,Gender,gemini_v20_sample60_round4,0,fact,5,Female semen sterility,Women,,Generative capacity of semen,,LESS,"That of the female is according to them sterile, being, as Sphaerus says, without tension, scanty, and watery.",,,"The text describes a biological rule within Stoic thought where women are denied the 'resource' of fertile/generative semen compared to the male equivalent, based on the criterion of gender.",,,5,Relates to biological reproduction and physical bodily functions.,3,Specific to a biological/medical theory of generation.,5,This is treated as a lifelong biological fact of the group.,5,Women is a biologically/sex-fixed group.,0,Female biological definition does not necessarily include 'sterile semen' in all theories.,9.0,gemini_v20_core_v1_random100,,,,down,
tlg0004.tlg001.perseus-eng2::92,tlg0004.tlg001.perseus-eng2,Lives of Eminent Philosophers,Diogenes Laertius,210,,Age,gemini_v20_sample60_round4,1,fact,5,Exemption from service for seniors,Minors,,Exemption from military cadet service,,LESS,"Eratosthenes tells us that by Hipparchia, of whom we shall presently speak, he had a son born to him named Pasicles, and after he had ceased to be a cadet on service, Crates took him to a brothel.",,,"The mention of a son 'ceasing to be a cadet' implies a mandatory period of service (ephebeia) tied to a specific age group (young men), contrasting with the lack of such obligation for children or older adults.",,,4,Military service is a major demand on bodily freedom/labor.,5,Mandatory service is a foundational duty/exemption axis.,3,Exemption holds after a specific age-related life stage ends.,5,Age groups (cadet age) are biologically fixed at a given time.,0,Military service is not the definition of 'minor' or 'son'.,7.0,gemini_v20_core_v1_random100,,,,up,
tlg0062.tlg026.perseus-eng4::8,tlg0062.tlg026.perseus-eng4,The Double Indictment,Lucian,155,,Citizenship,gemini_v20_sample60_round4,0,fact,5,Citizen access to lawcourts,Citizens,,Eligibility for jury service,,MORE,"Gentlemen, you will remain and hear this second case, and will receive a double fee.",,,"The text describes the standard practice of compensating citizens for jury service with a fee, confirming their exclusive right to participate in the judicial process of the polis.",,,3,Eligibility to serve on a jury is access to a civic role.,3,Specific but recurring access to the judicial system.,3,Eligibility is a status that lasts for a specific life stage.,4,Citizenship is a hard-to-change legal birth-status.,0,"Juror eligibility is a right, not the definition of a citizen.",9.0,gemini_v20_core_v1_random100,,,,up,
tlg0004.tlg001.perseus-eng2::34,tlg0004.tlg001.perseus-eng2,Lives of Eminent Philosophers,Diogenes Laertius,210,,Religion|Citizenship,gemini_v20_sample60_round4,1,fact,5,Citizen obligation to state gods,Citizens,,Right to introduce new divinities,,LESS,"Socrates is guilty of refusing to recognize the gods recognized by the state, and of introducing other new divinities. He is also guilty of corrupting the youth. The penalty demanded is death.",,,The official indictment recorded in the text shows a legal rule in Athens prohibiting citizens from substituting state-recognized gods with new ones upon pain of death.,,,5,The resource is life itself (protection from execution).,5,The right to introduce/refuse gods is foundational to legal personhood.,5,The penalty (death) is a permanent structural loss.,4,Citizenship is a structural legal birth-status.,0,Citizenship does not definitionally include an obligation to state gods.,10.0,gemini_v20_core_v1_random100,,,,up,
tlg0026.tlg001.perseus-eng2::26,tlg0026.tlg001.perseus-eng2,Against Timarchus,Aeschines,-354,,Citizenship,gemini_v20_sample60_round4,0,fact,5,Audit of outgoing magistrates,Citizens,,Accountability of public officials,,MORE,"The Athenian constitution provided for a rigorous system of accounting by all public officers at the close of their year of office. Not only their handling of public funds, but every official act, was passed upon by a board of state auditors (Λογισταί).",,,The passage describes the legal requirement for all public officials to undergo a mandatory audit (logistai) upon leaving office to ensure financial and behavioral accountability.,,,3,Legal audits of officials produce tangible outcomes like fines or exemptions.,4,Foundational constitutional check across all public offices.,2,The audit occurs once at the close of an office term.,2,"Public officer is a temporary, term-limited role.",0,Holding office does not inherently define undergoing an audit (though it was law).,10.0,gemini_v20_core_v1_random100,,,,up,
tlg0007.tlg082.perseus-eng3::5,tlg0007.tlg082.perseus-eng3,Sayings of Spartans,Plutarch,75,,Gender,gemini_v20_sample60_round4,1,fact,5,Female exercise requirement,Women,,Access to physical training,,MORE,"When someone else desired to know why he instituted strenuous exercise for the bodies of the maidens in races and wrestling and throwing the discus and javelin, he said, So that the implanted stock of their offspring... may attain a noble growth.",,,"Lycurgus is stated to have created a rule granting Spartan women (maidens) access to the gymnasium and athletic training, a resource often restricted to men in other Greek societies.",,,3,Access to athletic training involves use of facilities and physical development.,3,Specific to the institution of the gymnasium and athletic festivals.,3,Bounded to the life stage of 'maidens' (pre-marriage or youth).,5,Gender is biologically fixed.,0,Being a woman has no conceptual link to wrestling or discus throwing.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0014.tlg001.perseus-eng2::1,tlg0014.tlg001.perseus-eng2,First Olynthiac,Demosthenes,-348,,Citizenship,gemini_v20_sample60_round4,0,fact,5,Citizen assembly voting,Citizens,,Right to vote in the Ekklesia,,MORE,"For not only if someone comes forward with a well-considered plan, could you hear and accept it, but also I count it part of your good fortune that more than one speaker may be inspired with suitable suggestions on the spur of the moment, so that out of the multitude of proposals the choice of the best should not be difficult. My own idea would be to vote an expedition at once, to make instant preparation for its dispatch, thus avoiding our previous blunder, and to send ambassadors to state our intentions and watch events.",,,"The text is an address to the Athenian assembly where citizens exercise their right to hear advice, deliberate on policy, and vote on military expeditions and the dispatch of ambassadors.",,,4,The power to vote on war and ambassadors is a concrete political right with material effects.,5,Foundational societal axis: political personhood and sovereignty.,5,The right to vote in the assembly is a lifelong citizen right.,4,Citizenship is a birth-status.,0,The group definition (citizen) does not tautologically define the 'vote'.,10.0,gemini_v20_core_v1_random100,,,,up,
tlg0004.tlg001.perseus-eng2::135,tlg0004.tlg001.perseus-eng2,Lives of Eminent Philosophers,Diogenes Laertius,210,,Ethnicity,gemini_v20_sample60_round4,1,fact,4,Massagetae communal marriage,Massagetae,,Communal access to wives,,MORE,"The Massagetae, acording to Eudoxus in the first book of his Voyage round the World, have their wives in common; the Greeks have not.",,,This identifies a specific social convention belonging to the Massagetae regarding the distribution of marital rights/access compared to the Greek model of private marriage.,,,4,Communal marriage rights affect household structure and labor.,4,Broad rule governing reproductive and social association.,5,Structural societal norm governing lifelong relations.,5,Massagetae is an immutable ethnic/tribal designation.,0,Ethnic identity doesn't define marriage customs.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0004.tlg001.perseus-eng2::46,tlg0004.tlg001.perseus-eng2,Lives of Eminent Philosophers,Diogenes Laertius,210,,Citizenship,gemini_v20_sample60_round4,1,fact,5,Citizen right to colonize territory,Citizens,,Right to settle in cleruchies,,MORE,"He was born, according to some, in Aegina, in the house of Phidiades, the son of Thales, as Favorinus states in his Miscellaneous History, for his father had been sent along with others to Aegina to settle in the island, but returned to Athens when the Athenians were expelled by the Lacedaemonians",,,"Plato's father was sent to Aegina as part of a group of settlers. This refers to the practice of cleruchies, where Athenian citizens were granted land and the right to settle in conquered or allied territories.",,,5,Right to settle in land allotments (cleruchies) is a tangible property right.,4,Cleruchies were a major structural tool of Athenian expansion.,5,Land settlement is intended to be a permanent/lifelong property right.,4,Athenian citizenship is a structural legal birth-status.,0,Being a citizen does not mean 'settler in Aegina' by definition.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0059.tlg006.perseus-eng2::6,tlg0059.tlg006.perseus-eng2,Theaetetus,Plato,-393,,Health,gemini_v20_sample60_round4,0,fact,4,Gymnastic preservation of the body,The healthy,,Access to physical training,,MORE,"Well, then, is not the bodily habit destroyed by rest and idleness, and preserved, generally speaking, by gymnastic exercises and motions?",,,"Plato references the established social norm and medical belief in Classical Greece that physical exercise (gymnastics) is the mechanism for preserving the 'bodily habit' or physical health, contrasting it with idleness which destroys it.",,,5,"Physical health and bodily habit are tangible, bodily entitlements.",4,Covers the general maintenance of the human body.,3,Requires recurring effort; the 'habit' is lost through idleness.,2,Health status is episodic and changeable.,0,Possessing a healthy body is not the definition of 'the healthy'.,10.0,gemini_v20_core_v1_random100,,,,down,
tlg0004.tlg001.perseus-eng2::122,tlg0004.tlg001.perseus-eng2,Lives of Eminent Philosophers,Diogenes Laertius,210,,Nobility|Lineage,gemini_v20_sample60_round4,1,fact,4,Renunciation of hereditary kingship,Nobles,,Right to hold hereditary office,,MORE,As a proof of his magnanimity Antisthenes in his Successions of Philosophers cites the fact that he renounced his claim to the kingship in favour of his brother.,,,"The text identifies a specific hereditary status (kingship) held by Heraclitus's family in Ephesus, which was a resource (political power/office) that could be claimed or legally transferred/renounced within the lineage.",,,5,"Kingship involves direct control over state resources, wealth, and power.",5,Hereditary supreme office is a foundational societal axis.,5,Kingship/hereditary rank is traditionally a lifelong/structural status.,5,Noble lineage is strictly birth-fixed and immutable.,0,Being a noble does not strictly define one as currently holding a throne.,10.0,gemini_v20_core_v1_random100,,,,up,
tlg0059.tlg024.perseus-eng2::7,tlg0059.tlg024.perseus-eng2,Meno,Plato,-393,,Freedom,gemini_v20_sample60_round4,0,fact,4,Exclusion of slaves from formal education,Slaves,,Access to formal academic instruction,,LESS,"Now, can anyone have taught him all this? You ought surely to know, especially as he was born and bred in your house. Men. Well, I know that no one has ever taught him.",,,"Meno's certainty that 'no one has ever taught' the slave geometry or other branches of knowledge reflects the social norm where household slaves were typically not provided with formal intellectual or academic education (like geometry), which was reserved for free citizens.",,,3,Formal academic instruction is a social practice with tangible career/status outcomes.,4,Education is a broad category of social development.,5,The lack of education in youth has lifelong structural effects on the individual.,4,Slavery is a hard-to-change legal and structural birth-status.,0,"Slavery is defined by lack of freedom, not necessarily lack of education (some slaves were literate).",8.0,gemini_v20_core_v1_random100,,,,up,
tlg0062.tlg030.perseus-eng2::4,tlg0062.tlg030.perseus-eng2,The Parasite Tychiades,Lucian of Samosata,155,,Occupation,gemini_v20_sample60_round4,0,fact,4,Student vulnerability to corporal punishment,Education students,,Protection from corporal punishment,,LESS,"Every art has to be prefaced by study, hardships, fear and floggings, from which everyone would pray to be delivered. But this art alone, it seems, can be learned without hardships. Who ever went home from a dinner in tears, as we see some going home from their schools?",,,"The text contrasts the 'art' of parasitism with formal education, noting that students in traditional arts/schools are subject to 'floggings' and physical distress as part of their learning process.",,,5,Protection from bodily harm (flogging) is a material entitlement.,3,Recurring protection from corporal punishment in a specific setting.,3,Bounded to the life stage/period spent in education.,2,Role-bound identity (student) during a specific phase of life.,0,Being a student does not mean being flogged by definition.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0019.tlg011.perseus-eng1::1,tlg0019.tlg011.perseus-eng1,Plutus,Aristophanes,-409,,Freedom,gemini_v20_sample60_round4,0,fact,4,Slave exposure to corporal punishment,Slaves,,Protection from corporal punishment,,LESS,"CHREMYLUS. No, but if you worry me I will take off your chaplet, and then you will only get a sounder thrashing. CARIO. That's an old song! I am going to leave you no peace till you have told me who this man is; and if I ask it, 'tis entirely because of my interest in you.",,,"The dialogue establishes that masters have the legal and social right to physically beat (thrash) their slaves, and a slave's protection (like the laurel chaplet) can be removed at the master's discretion.",,,5,Protection from a 'thrashing' (physical assault) is a tangible bodily resource.,5,Bodily integrity is a foundational societal right.,5,Structural vulnerability throughout one's life as a slave.,4,Slave status is a structural legal state.,0,"Slavery does not definitionally include being beaten, though it permits it.",9.0,gemini_v20_core_v1_random100,,,,up,
tlg0017.tlg008.perseus-eng2::0,tlg0017.tlg008.perseus-eng2,On The Estate of Ciron,Isaeus,-384,,Gender|Lineage,gemini_v20_sample60_round4,0,fact,5,Male precedence in inheritance,Male descendants,,Precedence in estate claims,,MORE,"the nephew, the son of a brother, ought to have preference over a daughter's issue under the law which ordains that the descendants of males have precedence over those of females.",,,"The text explicitly cites a specific law ('the law which ordains...') governing Athenian inheritance, establishing that descent through a male line grants a stronger legal claim to an estate than descent through a female line.",,,5,Precedence in property claims involves tangible wealth and estate ownership.,5,Inheritance rights are a foundational societal axis for wealth distribution.,5,Legal priority in inheritance is a permanent structural right within the kinship system.,5,The group 'male descendants' is defined by birth-fixed biological sex and lineage.,0,Being a male descendant does not inherently mean having legal precedence over females in all societies.,10.0,gemini_v20_core_v1_random100,,,,up,
tlg0062.tlg059.perseus-eng3::1,tlg0062.tlg059.perseus-eng3,Harmonides,Lucian of Samosata,155,,Occupation,gemini_v20_sample60_round4,0,fact,5,Remuneration for public rhetoric,Sophists,,Right to collect fees,,MORE,"However I should be surprised if you were to condemn me for my present life—you knew me long ago when I was commanding the highest fees for the public practice of rhetoric, at the time when you went to see the Western Ocean and the lands of the Celts and met me: my fees were as high as those of any professor.",,,"Lucian describes the established practice of professional rhetoricians (sophists) receiving significant fees for their teaching and public displays, treating it as a standard economic right for that specific occupational group.",,,5,Fees/payment are direct material wealth.,3,Specific to a particular profession (rhetoric/teaching).,4,The ability to command fees is tied to a lifelong professional career.,3,Being a sophist is a durable identity acquired through training.,0,Sophists are not defined as 'people who get high fees'.,9.0,gemini_v20_core_v1_random100,,,,down,"This is just a job, and the group is too small"
tlg1271.tlg001.perseus-eng1::16,tlg1271.tlg001.perseus-eng1,The First Epistle of Clement to the Corinthians,Clement of Rome,88,,Occupation,gemini_v20_sample60_round4,1,fact,5,Laity restriction to specific ordinances,Laity,,Right to perform priestly ministrations,,LESS,"For to the High Priest his proper ministrations are allotted, and to the priests the proper place has been appointed, and on Levites their proper services have been imposed. The layman is bound by the ordinances for the laity.",,,"The text explicitly limits the layman to a specific set of rules (ordinances for the laity), implying exclusion from the specific duties allotted to the high priests and Levites.",,,3,Access to specific 'ordinances' is a social/ritual role with minor material outcomes.,3,Tied specifically to the procedural technicalities of religious liturgy.,5,Laity is a lifelong structural identity relative to the priesthood.,4,Laity is a formal legal/social category within a religious hierarchy.,1,Defining a layman as someone bound by the ordinances of the laity is tautological.,10.0,gemini_v20_core_v1_random100,,,,down,
tlg0014.tlg060.perseus-eng2::4,tlg0014.tlg060.perseus-eng2,The Funeral Speech,Demosthenes,-348,,Citizenship|Lineage,gemini_v20_sample60_round4,0,fact,4,State maintenance for war orphans,Minors,,Public upbringing and honor,,MORE,"In which the children of these men shall be reared in honor and the parents of these men shall enjoy distinction and tender care in their old age, cherishing the fame of these men as an assuagement of their sorrow.",,,"In the context of the funeral speech, this refers to the Athenian law where the state provided for the maintenance and 'honorable' upbringing of the children of those who fell in battle.",,,5,State rearing and honors involve physical maintenance/subsistence for orphans.,3,Specific recurring provision for war orphans and parents.,3,Bounded to the life stage of childhood/upbringing.,5,Orphan status arising from father's death is immutable.,0,Being an orphan doesn't define one as 'receiving state funding'.,8.0,gemini_v20_core_v1_random100,,,,down,
tlg0014.tlg041.perseus-eng2::2,tlg0014.tlg041.perseus-eng2,Against Spudias,Demosthenes,-348,,Wealth / Properties,gemini_v20_sample60_round4,0,fact,5,Mortgagee right of property possession,Creditors,,Protection from legal action by debtors,,MORE,"And in this matter what stronger or more solid ground could I have in coming before you than the law which expressly ordains that, in all cases where men have given a mortgage, there shall be no right of action for them or for their heirs?",,,"The speaker cites a specific law protecting holders of a mortgage. Once a property is mortgaged to secure a debt, the debtor or their heirs lose the right of action against the creditor regarding that property.",,,5,Relates to the ownership and possession of tangible mortgaged property.,4,Broad legal protection for creditors across all mortgage types.,4,Holds as long as the mortgage exists or until the debt is settled.,3,Creditor status is based on wealth and specific financial activity.,1,A 'right to property' for a 'creditor' regarding a 'mortgage' is borderline definitional of being a mortgagee.,10.0,gemini_v20_core_v1_random100,,,,up,
tlg0007.tlg109.perseus-eng2::0,tlg0007.tlg109.perseus-eng2,A Discourse Concerning Socrates's Daemon,Plutarch,75,,Citizenship,gemini_v20_sample60_round4,1,fact,4,Metic exclusion from Boeotian interests,Metics,,Freedom of political association,,LESS,"Suppose us to be of this sort, and give us an account of the whole design, how from the very beginning it was carried on, what company you kept, and what particular discourse you had that day;—a thing so much desired, that I protest I would willingly go to Thebes to be informed, did not the Athenians already suspect me to lean too much to the Boeotian interest.",,,"The speaker Archidamus, an Athenian, expresses that his political movements and interests are restricted by the suspicion of his fellow citizens regarding his 'Boeotian interest'. This reflects a norm where citizens of one polis are restricted from acting in the political interest of another, essentially limiting their freedom of political choice and association based on their primary citizenship.",,,4,Restricting political movement and interest affects direct freedom of choice.,3,Specifically concerns interest in a rival polis (Boeotia) vs home city.,4,Citizenship-based loyalty expectations are lifelong/long-term.,4,Athenian citizenship is a structural birth-status.,0,Being Athenian does not by definition preclude interest in Boeotia.,7.0,gemini_v20_core_v1_random100,,,,up,shoiuld noit be Thebes ?
tlg0007.tlg126.perseus-eng3::1,tlg0007.tlg126.perseus-eng3,Concerning the Face which Appears in the Orb Of the Moon,Plutarch,75,,Occupation,gemini_v20_sample60_round4,1,fact,4,Right to settle after service,Servants of Cronus,,Right to settle in a foreign land,,MORE,"Nor do any others inhabit it but themselves and those who have been dispatched before them, for, while those who have served the god together for the stint of thirty years are allowed to sail off home, most of them usually choose to settle in the spot, some out of habit and others because without toil or trouble they have all things in abundance while they constantly employ their time in sacrifices and celebrations or with various discourse and philosophy",,,Plutarch notes a custom in this specific community where individuals who have completed a thirty-year term of religious service have the right to choose between returning home or settling permanently on the island with access to its resources.,,,5,Right to settle in a foreign land and 'abundance' of things is material/economic.,3,Specifically the right to permanent residence in a given locality.,5,Right to settle 'permanently' is lifelong.,4,Status acquired via a 30-year fixed term of service; structural.,0,Religious service does not inherently grant the right to settle elsewhere.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0014.tlg017.perseus-eng2::5,tlg0014.tlg017.perseus-eng2,On the Treaty with Alexander,Demosthenes,-348,,Citizenship,gemini_v20_sample60_round4,0,fact,5,Protection from armed exile incursions,Citizens,,Security from hostile exiles,,MORE,"For it is laid down that it shall not be lawful for exiles to set out, bearing arms, from the states which are parties to the peace, with hostile intent against any of the states included in the peace; but if they do, then that city from which they set out shall be excluded from the terms of the treaty.",,,"The treaty contains a formal rule preventing states from allowing armed exiles to launch attacks on other member states, protecting the internal security and territorial integrity of the signatory groups.",,,5,Security from armed attacks is a fundamental bodily/territorial entitlement.,4,Internal security is a broad and foundational resource.,5,A structural protection meant to endure for the life of the treaty.,4,"Citizenship of a state is a stable, legal birth-status.",0,Security from exiles is not part of the definition of citizenship.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0062.tlg045.perseus-eng2::13,tlg0062.tlg045.perseus-eng2,The Dance,Lucian of Samosata,155,,Lineage|Nobility,gemini_v20_sample60_round4,0,fact,5,Noble participation in Bacchic dance,High-born men,,Right to perform in public spectacles,,MORE,"And certainly the Bacchic dance that is especially cultivated in Ionia and in Pontus, although it is a satyr-show, nevertheless has so enthralled the people of those countries that when the appointed time comes round they each and all forget everything else and sit the whole day looking at titans, corybantes, satyrs, and rustics. 

Indeed, these parts in the dance are performed by the men of the best birth and first rank in every one of their cities, not only without shame but with greater pride in the thing than in family trees and public services and ancestral distinctions.",,,"The author describes a specific contemporary social norm in Ionia and Pontus where high-status men (best birth/first rank) are permitted and encouraged to perform as dancers in public Bacchic festivals, a role that might otherwise be seen as low-status, framing it as a source of pride and a recognized right of their class.",,,3,The right to perform in festivals provides significant social status and cultural participation.,3,Applies to broad regional festivals and public services.,4,This is a recurring right associated with one's high-born status.,5,Defined as people of 'best birth' and 'first rank' (nobility).,0,High birth does not entail Bacchic dancing; usually it was the opposite.,10.0,gemini_v20_core_v1_random100,,,,up,
tlg0007.tlg028.perseus-eng2::4,tlg0007.tlg028.perseus-eng2,Titus Flamininus,Plutarch,75,,Freedom,gemini_v20_sample60_round4,1,fact,5,Magisrate ejection from Senate,Nobility,,Right to retain senatorial rank,,LESS,"In view of this, when Cato became censor and was purging the senate of its unworthy members, he expelled from it Lucius Flamininus, although he was a man of consular dignity, and although his brother Titus was thought to be involved in his disgrace.",,,"The text describes the power of the Censor to remove individuals from the Senate for perceived moral or behavioral failures, affecting their access to political power and high social status.",,,4,Senatorial rank is a concrete legal right with massive material influence.,4,A broad category of power and institutional membership.,4,Rank is permanent-till-revoked by a censor.,4,Nobility/consular dignity is a structural birth and career status.,0,Retention of rank is not part of the definition of having reached that rank.,10.0,gemini_v20_core_v1_random100,,,,down,the ressource is too narrow
tlg0004.tlg001.perseus-eng2::127,tlg0004.tlg001.perseus-eng2,Lives of Eminent Philosophers,Diogenes Laertius,210,,Education|Age,gemini_v20_sample60_round4,1,fact,5,Learning from royal foreign experts,Minors,,Access to theological and astronomical education,,MORE,"He was a pupil of certain Magians and Chaldaeans. For when King Xerxes was entertained by the father of Democritus he left men in charge, as, in fact, is stated by Herodotus; and from these men, while still a boy, he learned theology and astronomy.",,,"The text describes a specific educational arrangement where a young male of high standing (Democritus, son of a host to the King) was granted access to specialized knowledge (theology and astronomy) taught by foreign specialists (Magians and Chaldaeans) left by the Persian King. This indicates that boys of wealthy/connected families had access to private, elite tutoring from foreign experts.",,,3,Specialized education leads to social roles with material/elite outcomes.,4,Access to education is a major category of social right.,3,Limited to the life stage of minority/education.,5,Minors represent an immutable age status at that life moment.,0,Childhood does not define the presence of foreign tutors.,8.0,gemini_v20_core_v1_random100,,,,up,
tlg0008.tlg001.perseus-eng2::5,tlg0008.tlg001.perseus-eng2,The Deipnosophists,Athenaeus,205,,Freedom,gemini_v20_sample60_round4,1,fact,5,Slave prohibition of wine,Slaves,,Right to drink wine,,LESS,"And among the Romans no slave ever drank wine, nor any free woman, nor any youth born of free parents till he was thirty years of age.",,,The text describes an ancient Roman sumptuary and social law that restricted access to wine based on both freedom and age criteria.,,,5,Wine is a tangible physical good.,3,Sumptuary law regarding a specific broad category of consumption.,5,"For slaves, this was a lifelong prohibition.",4,Slave status is a structural legal status.,0,Abstinence from wine is not the definition of a slave.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0030.tlg003.perseus-eng2::2,tlg0030.tlg003.perseus-eng2,Against Athenogenes,Hyperides,-360,,Wealth / Properties,gemini_v20_sample60_round4,0,fact,5,Testamentary freedom restrictions,Wealthy,,Right to bequeath property,,LESS,"Moreover the law dealing with wills is very similar to this. It allows a man to bequeath his property as he wishes unless he is affected by old age, illness or insanity, and provided he is not influenced by a woman or imprisoned or otherwise coerced.",,,"Solonian law on wills (diathekai) is cited, showing that while individuals have the right to bequeath, this resource is restricted if the testator is deemed influenced by specific external factors like illness or the influence of a woman.",,,5,The right to bequeath land and wealth is a core material entitlement.,5,Foundational societal axis: the transfer of wealth across generations.,5,A will has a lifelong and posthumous material effect.,3,Wealthy status is durable but susceptible to economic change.,0,Wealth does not conceptually entail the right to bequeath while under 'female influence'.,9.0,gemini_v20_core_v1_random100,,,,up,
