group	group_meta
60-year-old men	Men;Elders
Accidental killers	Citizens
Achaean citizens	Citizens
Actors	Artisans
Actors and musicians	Artisans
Administrators	Magistrates
Adopted children	Minors;Heirs
Adopted sons	Men;Heirs
Adult sons of widowed mothers	Men;Heirs
Adulterous women	Women
Adults	Citizens
Advanced students	The educated
Advisors	Magistrates
Aged philosophers	Elders;Philosophers
Agents of their own death	Citizens
Agiads and Eurypontids	Kings;Nobles
Aliens	Foreigners
All people	The multitude
Allied states	Foreigners
Ambassadors	Magistrates
Ancient family members	Nobles
Architects	Artisans
Argive subjects under tyranny	The multitude
Aristocrats	Nobles
Artisans	Artisans
Artisans and craftsmen	Artisans
Artisans and soldiers	Artisans;Soldiers
Artists	Artisans
Aspiring tyrants	Nobles
Atheists	The multitude
Athenian citizens	Citizens
Athenians	Citizens
Athenians and resident aliens	Citizens;Foreigners
Athenians of 'polluted' lineage	Citizens
Athletes	Artisans
Athletic contestants	Artisans
Bachelors and Maidens	Men;Women
Bankers	Artisans
Barbarians	Foreigners
Bastards	Heirs
Beginners	The multitude
Benefactors	Nobles
Bishops	Priests
Boys	Men;Minors
Boys with both parents living	Men;Minors
Builders	Artisans
Captains of the horse	Soldiers;Magistrates
Carthaginians	Carthaginians
Cavalrymen	Soldiers
Charioteers	Soldiers
Childless men	Men
Children	Minors
Children of non-citizen mothers	Minors;Foreigners
Children of one citizen parent	Minors;Citizens
Children of one non-citizen parent	Minors;Foreigners
Children of slaves	Minors;Slaves
Children of those who died in war	Minors;Orphans
Children who maltreat parents	Minors
Choragi and Trierarchs	Magistrates
Chorus members	Poets
Christians	Christians
Cilicians	Cilicians
Citizens	Citizens
Citizens fit for military service	Citizens;Soldiers
Citizens in public service	Citizens;Magistrates
Citizens of Greek city-states	Citizens;Greeks
Citizens of non-citizen parentage	Citizens;Foreigners
Citizenship	Citizens
Colonial citizens	Citizens
Colonists	Foreigners
Comic poets	Poets
Commercial lenders	The wealthy
Common people	The multitude
Common sailors	Sailors
Companions	Nobles
Conquered foreigners	Foreigners
Consuls	Magistrates;Kings
Cooks	Artisans
Corn-controllers	Magistrates
Corn-dealers	Artisans
Councillors	Magistrates
Court physicians	Physicians
Courtesans	Women;Artisans
Creditors	The wealthy
Cynic philosophers	Philosophers
Dancers	Artisans
Daughters	Women
Daughters of citizens	Women;Citizens
Daughters of public benefactors	Women;Nobles
Daughters without brothers	Women;Heirs
Deacons	Priests
Debtors to the state	Citizens
Defendants	Citizens
Defendants in murder trials	Citizens
Deities	Other
Descendants of state benefactors	Nobles;Heirs
Dialecticians	Philosophers
Dictators	Kings
Dinner guests	The multitude
Disabled paupers	The poor;Sick
Distinguished philosophers	Philosophers;Nobles
Doctors	Physicians
Educated elite	The educated;Nobles
Educated men	The educated;Men
Educated persons	The educated
Education	The educated
Education students	The educated
Egyptians	Egyptians
Elderly	Elders
Elderly citizens	Citizens;Elders
Elderly fathers	Men;Elders
Elderly men	Men;Elders
Elders	Elders
Emperors	Kings
Engravers	Artisans
Envoys	Magistrates
Epic poets	Poets
Eulogists	Poets
Eumolpidae	Priests;Nobles
Eunuchs	Men
Eupatridae	Nobles
Eurypontidae	Nobles
Exiled nobles	Exiles;Nobles
Exiles	Exiles
Family of outstanding excellence	Nobles
Farmers	Artisans
Fathers	Men
Fellow-citizens	Citizens
Female musicians	Women;Artisans
Ferrymen	Sailors
Fetial priests	Priests
Flutegirls	Women;Minors;Artisans
Foreign rulers	Foreigners;Kings
Foreigners	Foreigners
Former officials under the oligarchy	Magistrates
Free men	Men;Citizens
Free non-citizens	Foreigners
Free persons	Citizens
Free-born individuals	Citizens
Freeborn gentlemen	Men;Nobles
Freedmen	Foreigners
Freedom claimants	Slaves
Freemen	Men;Citizens
Friends of the people	The multitude
Frontier landowners	The wealthy
Galli	Priests
Generals	Soldiers;Magistrates
Governors	Magistrates
Greeks	Greeks
Guardians	Magistrates
Health-impaired infants	Minors;Sick
Heiresses	Women;Heirs
Heirs	Heirs
Heirs of magistrates	Heirs;Magistrates
Helots	Slaves
Heralds	Magistrates
Herdsman	Artisans
Herdsmen	Artisans
Heretics	Christians
Hierophants	Priests
High Priests	Priests
High priests	Priests
High-born men	Nobles;Men
High-ranking priests	Priests
Hired laborers	The poor;Artisans
Homicide suspects	Other
Honored male citizens	Men;Citizens;Nobles
Human beings	Other
Husbandmen	Artisans
Husbands	Men
Illegitimate children	Minors
Illegitimate sons	Men;Minors
Illustrious men	Nobles;Men
Individuals of outstanding excellence	Nobles
Infants	Minors
Influential citizens	Citizens;Nobles
Initiates	Priests
Intimates	Other
Jews	Jews
Judges	Magistrates
Jurors	Magistrates
Jurymen	Men;Magistrates
Kings	Kings
Kings and sons of kings	Kings;Men;Heirs
Laborers	Artisans
Laity	The multitude
Landowners	The wealthy
Lawgivers	Magistrates
Leaders of sedition	Other
Legitimate children	Heirs;Minors
Legitimate daughters	Heirs;Women
Legitimate sons	Heirs;Men
Levites	Jews;Priests
Liberated Greek allies	Greeks;Citizens
Lineage	Heirs
Lineal descendants	Heirs
Litigants	Other
Macedonian kings	Macedonians;Kings
Macedonians	Macedonians
Magi	Priests
Magistrates	Magistrates
Maidens	Women;Minors
Maidens and youths	Minors
Male citizens	Men;Citizens
Male descendants	Men;Heirs
Males	Men
Mantineians	Greeks
Manual laborers	Artisans
Married sons	Men;Heirs
Massagetae	Scythians
Masters	Nobles
Mechanics and laborers	Artisans
Members of the Areopagus	Magistrates
Men	Men
Men above fifty years of age	Men;Elders
Men aged fifty-nine	Men;Elders
Men of Delphi	Men;Greeks
Men of military age	Men;Soldiers
Men over thirty	Men;Elders
Men under forty	Men
Men who have prostituted themselves	Men
Mercenaries	Soldiers
Merchants	Artisans
Metics	Foreigners
Middle class	The multitude
Mining concessionaires	Artisans
Minor oligarchs	Nobles
Minors	Minors
Monarchs	Kings
Mourners	Other
Musicians	Artisans
Mysians	Mysians
Naturalized citizens	Citizens
Naturalized foreigners	Foreigners
Near relatives	Heirs
Nobility	Nobles
Noble families	Nobles
Noble families and clans	Nobles
Noble men	Men;Nobles
Noble women	Women;Nobles
Nobles	Nobles
Non-citizens	Foreigners
Non-initiates	Other
Non-pure born Athenians	Foreigners
Non-residents	Foreigners
Notables	Nobles
Occupation	Artisans
Old men	Men;Elders
Older men	Men;Elders
Orators	Philosophers
Orators and lawyers	Philosophers;Magistrates
Ordinary men	Men;The multitude
Orphans	Orphans
Orphans of fallen soldiers	Orphans;Soldiers
Ostracized citizens	Exiles;Citizens
Outsiders	Foreigners
Owners of estates	The wealthy
Owners of military equipment	Soldiers
Pantomime dancers	Artisans
Parasites	The multitude
Patricians	Nobles
Pentacosiomedimni	The wealthy
People of Delphi	Greeks
Persians	Persians
Persons admitting religious impiety	Other
Persons of mixed parentage	Foreigners
Philosophers	Philosophers
Physically unfit dancers	Sick;Artisans
Physicians	Physicians
Pilgrims	Other
Poets	Poets
Poets and Legislators	Poets;Magistrates
Pontifex Maximus	Priests
Presbyters	Elders;Priests
Priests	Priests
Priests and priestesses	Priests
Prisoners of war	Slaves;Soldiers
Private citizens	Citizens
Private individuals	Citizens
Professional musicians	Artisans
Prominent citizens	Citizens;Nobles
Prominent philosophers	Philosophers;Nobles
Property owners	The wealthy
Prostitutes	Artisans
Proxenoi	Magistrates
Public Arbitrators	Magistrates
Public benefactors	Nobles
Public clerks	Magistrates
Public officers	Magistrates
Public officials	Magistrates
Public slaves	Slaves
Public speakers	Philosophers
Pythagoreans	Philosophers
Relations	Heirs
Religion	Priests
Religious initiates	Priests
Religious observers	Priests
Religious practitioners	Priests
Resident aliens	Foreigners
Restored exiles	Exiles
Rhapsodes	Poets
Rich citizens	The wealthy;Citizens
Rich women	The wealthy;Women
Robbers	The multitude
Roman citizens	Romans;Citizens
Roman governors	Romans;Magistrates
Romans	Romans
Royal claimants	Kings
Royal courtiers	Nobles
Rulers	Kings
Rural citizens	Citizens
Sacrificers	Priests
Sacrificers and consultants	Priests
Sailors	Sailors
Scholars	The educated
Scientifically trained rulers	Kings;The educated
Scientists	The educated
Scythian archers	Scythians;Soldiers
Scythians	Scythians
Seers	Priests
Senators	Magistrates
Serf class	Slaves
Servants	Slaves
Servants of Cronus	Priests
Shipowners	The wealthy
Sicilian Greeks	Greeks
Slave owners	Citizens
Slaves	Slaves
Slaves and Aliens	Slaves;Foreigners
Slaves and foreigners	Slaves;Foreigners
Slaves, metics, and women	Slaves;Foreigners;Women
Soldiers	Soldiers
Soldiers deserting on the field	Soldiers
Soldiers under the Four Hundred	Soldiers
Sons of citizens	Men;Citizens
Sons of kings	Men;Heirs
Sophists	Philosophers
Spartan citizens	Spartans;Citizens
Spartans	Spartans
Specific lineages in the Holy City	Nobles
Spouses	Wives
State debtors	The poor
Statesmen	Magistrates
Students	The educated
Subjects	The multitude
Suppliants	Other
Suppliants at the Mysteries	Other
Sycophants	The multitude
Syracusans	Greeks
Syrians	Syrians
Syrians and Arabs	Syrians
Tarentines	Greeks
Tarsians	Foreigners
Tax farmers	Magistrates
Tax farmers and sureties	Magistrates
Teachers	Philosophers
Temple robbers	Other
The Council	Magistrates
The Five Thousand	Citizens
The King Archon	Magistrates;Kings
The People	The multitude
The Spartans	Spartans
The Wise	The educated
The Zeugites	Citizens
The aged	Elders
The best among the multitude	Nobles;The multitude
The common people	The multitude
The dishonored	The multitude
The distinguished	Nobles
The educated	The educated
The elderly	Elders
The elite	Nobles
The enamoured	Other
The foolish and dissolute	The multitude
The free	Citizens
The free-born	Citizens
The healthy	Other
The humble	The multitude
The ignorant	The multitude
The infirm	Sick
The infirm poor	The poor;Sick
The insane	Sick
The low-born	The multitude
The masses	The multitude
The meritorious	Nobles
The middle class	The multitude
The multitude	The multitude
The multitude (freemen)	The multitude;Citizens
The mute	Sick
The naturally unintelligent	The multitude
The nobility	Nobles
The noble	Nobles
The noble and educated	Nobles;The educated
The notables	Nobles
The older	Elders
The people	The multitude
The pious	Other
The poor	The poor
The poor or disabled	The poor;Sick
The powerful	Nobles
The pure of soul	Other
The religiously defiled	Other
The rich	The wealthy
The royal class	Nobles
The sick	Sick
The sick/Prisoners	Sick
The sons of men	Men
The uneducated	The multitude
The uninitiated	Other
The uninstructed	The multitude
The unjust and godless	Other
The unlearned with correct opinion	The multitude
The wealthiest citizens	The wealthy;Citizens
The wealthy	The wealthy
The wealthy and noble	The wealthy;Nobles
The wealthy in allied cities	The wealthy;Foreigners
The well-to-do	The wealthy
The wise	Philosophers
The wronged	Other
The young	Minors
The young men	Minors;Men
The young men of military age	Minors;Men;Soldiers
Thetes	The poor
Those not of pure descent	Foreigners
Traders	Artisans
Tragedians	Poets
Tragic actors	Poets
Treasury clerks	Magistrates
Tribunes of the people	Magistrates
Trierarchs	Magistrates
Tyrants	Kings
Under-clerks	Magistrates
Uneducated individuals	The multitude
Unskilled men	Men;Artisans
Unworthy persons	Other
Upper-class Citizens	Nobles;Citizens
Vestal Virgins	Priests;Women
Vestal virgins	Priests;Women
Virgins	Women
Wealth / Properties	Other
Wealthy	The wealthy
Wealthy citizens	The wealthy;Citizens
Wealthy elderly male citizens	The wealthy;Elders;Men
Wealthy individuals	The wealthy
Wealthy landowners	The wealthy
Wealthy or noble citizens	The wealthy;Nobles
Wealthy or well-born persons	The wealthy;Nobles
Wealthy property owners	The wealthy
Wealthy women	The wealthy;Women
Widows	Women
Widows past the age of marriage	Women;Elders
Wife of the King-Archon	Women;Wives
Wives	Women;Wives
Women	Women
Women slaves	Slaves;Women
Workers	Artisans
Worshippers	Other
Xenocrates	Philosophers
Young and noble men	Minors;Nobles;Men
Young men	Minors;Men
Young men of good family	Minors;Nobles;Men
Younger brothers	Minors;Heirs
Younger men	Minors;Men
Youth	Minors
Youths	Minors
Zeugitae	Citizens
