rule_uid	file_id	criteria	rule	group	resource	directionality	verbatim	contemporary	factuality	reasoning	confidence	author	work_title	impact_year	group_specificity	is_historical	secondary_reasoning	resource_materiality	materiality_reasoning	group_immutability	immutability_reasoning	resource_generality	resource_generality_reasoning	perseus_id	work_factuality	sampled_for
tlg0027.tlg004.perseus-eng2#15	tlg0027.tlg004.perseus-eng2	Age	Military service exemption for youth	young people	Exemption from active combat	MORE	[§24] [22] ...that is why our old men fight our battles, while our young men make speeches— they take Alcibiades as their model	1	0	The passage suggests a breakdown in the traditional rule where young men are the primary combatants, noting that currently, old men are fighting while young men stay in the city.	7.0	Andocides		-500	5	0	Canonical societal group; the author describes a contemporary shift in social roles.	4	Exemption from military service has direct material effect on personal safety and livelihood.	5	Age is a biologically fixed trait, strictly immutable.	3	Exemption from active combat is a specific but recurring protection.	tlg0027.tlg004	4	Age
tlg0019.tlg003.perseus-eng2#36	tlg0019.tlg003.perseus-eng2	Age	Seniority seat preference	old people	Right to prioritized seating	MORE	[§31] ...and to rise up from seats before your seniors when they approach, and not to behave ill toward your parents, and to do nothing else that is base.	1	1	The text describes a societal norm where younger people must yield their seats to older people, indicating a resource (priority seating) granted to the elderly.	10.0	Aristophanes	The Clouds	-409	5	0	The group 'old people' is a canonical societal group; the author describes a contemporary social norm.	2	Prioritized seating is a minor social privilege with weak material payoff.	3	Old age is a life stage, changeable over time, but a durable social identity.	3	Right to prioritized seating is a specific but recurring social privilege.	tlg0019.tlg003	3	Age
tlg0019.tlg003.perseus-eng2#52	tlg0019.tlg003.perseus-eng2	Age	Elder immunity from physical abuse	old people	Protection from corporal punishment	MORE	[§57] Strepsiades. It is nowhere ordained by law that a father should suffer this. ...Phidippides. Why then is it less lawful for me also in turn to propose henceforth a new law for the sons, that they should beat their fathers in turn?	1	1	The character Phidippides attempts to dismantle an existing societal and legal norm where elderly fathers are protected from being beaten by their sons, arguing for a 'new law' to replace the established one.	9.0	Aristophanes	The Clouds	-409	5	0	The group 'old people' is a canonical societal group; the author describes a contemporary challenge to their immunity.	5	Protection from corporal punishment is a fundamental bodily entitlement.	3	Old age is a life stage, changeable over time, but a durable social identity.	4	Protection from corporal punishment is a major recognizable right spanning many situations.	tlg0019.tlg003	3	Age
tlg0057.tlg010.perseus-eng2#43	tlg0057.tlg010.perseus-eng2	Age	Elderly humor accumulation	old people	Protection from phlegm accumulation	LESS	[§28] Thus, the white-coloured substance which everyone else calls phlegm, and which Prodicus calls blenna [mucus], is the well-known cold, moist humour which collects mostly in old people and in those who have been chilled in some way...	1	1	Galen describes a physiological rule where the 'cold, moist' humor (phlegm/mucus) specifically accumulates in individuals based on their age (the elderly), contrasted with younger people or those in their 'prime'.	9.0	Galen	On the Natural Faculties	164	5	0	Canonical age group; the rule describes a timeless physiological process.	5	Protection from phlegm accumulation directly impacts bodily health.	5	Age is a biologically fixed trait, strictly immutable.	2	Protection from phlegm accumulation is specific to a particular bodily humor.	tlg0057.tlg010	3	Age
tlg0010.tlg019.perseus-eng2#41	tlg0010.tlg019.perseus-eng2	Age	Youthful self-governance requirements	young men	Right to govern one's own thoughts	LESS	[§290] namely, that if one is to govern his youth rightly and worthily and make the proper start in life, he must give more heed to himself than to his possessions, he must not hasten and seek to rule over others before he has found a master to direct his own thoughts.	1	1	The societal norm described requires young men to submit to a 'master' (teacher) before they are permitted the resource of independent action or the right to lead others.	8.0	Isocrates	Antidosis	-400	5	0	The group is a canonical age category; the author describes a contemporary societal expectation for self-governance.	1	Right to govern one's own thoughts is an abstract, internal capacity.	5	Age is a biologically fixed trait, strictly immutable.	4	Right to govern one's own thoughts is a broad category of personal autonomy.	tlg0010.tlg019	4	Age
tlg0086.tlg010.perseus-eng2#26	tlg0086.tlg010.perseus-eng2	Citizenship	State-mandated moral training for citizens	Citizens	Training in habits of right action	MORE	[§174] This truth is attested by the experience of states: lawgivers make the citizens good by training them in habits of right action—this is the aim of all legislation, and if it fails to do this it is a failure; this is what distinguishes a good form of constitution from a bad one.	1	1	Aristotle describes a general political rule of Greek states where the law and the constitution are designed to provide citizens with moral training throughhabituation.	10.0	Aristotle	Nicomachean Ethics	-348	5	0	Canonical societal group; Aristotle describes a general principle of statecraft in his time.	3	Training in habits of right action is a social practice with tangible outcomes.	4	Citizenship is a legal status, very hard to change, requiring naturalisation or exile.	4	Training in habits of right action is a broad category of right.	tlg0086.tlg010	3	Citizenship
tlg0086.tlg035.perseus-eng2#15	tlg0086.tlg035.perseus-eng2	Citizenship	Enslavement of conquered foreigners	Foreigners	Protection from enslavement	LESS	[§8] for there is also such a thing as a slave or a man that is in slavery by law, for the law is a sort of agreement under which the things conquered in war are said to belong to their conquerors. | [§8] Therefore they do not mean to assert that Greeks themselves if taken prisoners are slaves, but that barbarians are.	1	1	The text describes a legal convention where non-Greeks (barbarians) captured in war are treated as property (slaves), a rule from which Greeks seek to exempt themselves.	9.0	Aristotle	Politics	-348	5	0	Canonical societal group; Aristotle describes a contemporary legal convention for enslavement.	5	Protection from enslavement is a fundamental bodily entitlement and freedom from being property.	4	Being a foreigner subject to enslavement is a legal/structural status, very hard to change.	4	Protection from enslavement is a major recognizable right.	tlg0086.tlg035	3	Citizenship
tlg0086.tlg035.perseus-eng2#229	tlg0086.tlg035.perseus-eng2	Citizenship	Citizen right to public accounting	Citizens	Right to inspect public funds	MORE	[§135] and also rendering account of receipts and expenditure, as some tyrants have done already （for this careful management would make a ruler seem a steward of the state and not a tyrant).	1	1	As a rule for becoming 'more regal,' Aristotle suggests the tyrant provide accounts of public money to the citizens, treating them as stakeholders rather than subjects of a private estate.	8.0	Aristotle	Politics	-348	5	0	The group 'Citizens' is a canonical societal group; Aristotle describes contemporary advice for rulers.	4	Right to inspect public funds is a concrete legal right with direct material effect.	4	Citizenship is a legal/structural birth-status, very hard to change.	3	Right to inspect public funds is a specific but broadly applicable legal protection.	tlg0086.tlg035	3	Citizenship
tlg1443.tlg001.perseus-eng1#31	tlg1443.tlg001.perseus-eng1	Citizenship	Christian traveler refreshment requirement	Foreigners	Right to hospitality and support	MORE	[§199] [2] Concerning those who have preceded me from Syria to Rome to the glory of God... it is right for you to refresh them in every way.	1	1	The text establishes a rule of conduct for the Roman church to provide 'refreshment' (support/hospitality) to foreign travelers ('those who have preceded me from Syria') on the basis of their shared religious identity.	8.0	Ignatius of Antioch	Epistle of Ignatius to the Trallians	70	5	0	The group 'Foreigners' is a canonical societal group; the rule describes a contemporary social obligation.	3	Right to hospitality and support provides tangible benefits like food and shelter.	3	Foreigners (travelers) is a status that can change, but is a durable social identity while in that state.	3	Right to hospitality and support is a specific but broadly applicable social protection.	tlg1443.tlg001	3	Citizenship
tlg0031.tlg005.perseus-eng2#45	tlg0031.tlg005.perseus-eng2	Citizenship	Foreigner restriction on new teachings	Foreigners	Right to introduce new deities	LESS	"[§633] Others said, ""He seems to be advocating foreign demons,"" because he preached Jesus and the resurrection. [§634] They took hold of him, and brought him to the Areopagus, saying, ""May we know what this new teaching is, which is spoken by you?"""	1	1	In Athens, Paul (a newcomer) is detained and brought before a governing council (the Areopagus) to account for preaching 'foreign' deities, indicating that non-citizens did not have the unrestricted right to introduce new religious doctrines without official inquiry.	8.0	New Testament		100	4	0	Broad societal group; the rule describes a contemporary restriction on religious innovation for foreigners.	3	Right to introduce new deities affects access to a social role/practice with tangible outcomes.	3	Foreigner status is changeable with effort (e.g., naturalization), but durable.	3	The right to introduce new deities is a specific but recurring religious freedom.	tlg0031.tlg005	3	Citizenship
tlg0086.tlg010.perseus-eng2#8	tlg0086.tlg010.perseus-eng2	Education	Philosophical duty to prefer truth	philosophers	Right to prioritize truth over friendship	MORE	[§43/§44] Still perhaps it would appear desirable, and indeed it would seem to be obligatory, especially for a philosopher, to sacrifice even one’s closest personal ties in defense of the truth. Both are dear to us, yet ’tis our duty to prefer the truth.	1	0	Aristotle explicitly identifies a specific group, the philosopher, and attributes to them a unique moral obligation/resource (the duty/right to prioritize objective truth over personal social bonds/friendship), framing it as an 'obligation' inherent to the role.	9.0	Aristotle	Nicomachean Ethics	-348	3	0	Borderline specific group (philosophers); Aristotle describes a contemporary professional obligation.	1	Right to prioritize truth is a non-material, abstract resource.	3	Philosopher is an occupation/profession acquired through training, changeable with effort.	3	Right to prioritize truth over friendship is a specific but recurring ethical principle.	tlg0086.tlg010	3	Education
tlg0086.tlg010.perseus-eng2#265	tlg0086.tlg010.perseus-eng2	Education	Virtuous access to virtuous friends	The virtuous	Access to virtuous friendship	MORE	[§1202] Moreover the society of the good may supply a sort of training in goodness, as Theognis remarks. Again, if we examine the matter more fundamentally, it appears that a virtuous friend is essentially desirable for a virtuous man.	1	0	Aristotle identifies a specific class of people—the virtuous (a group defined by their moral education/character)—and argues they have a unique need and access to the 'greatest of external goods': friends of similar character.	9.0	Aristotle	Nicomachean Ethics	-348	4	0	Broad societal group; author describes a contemporary norm.	1	Access to virtuous friendship is primarily a social and spiritual resource, with no direct material payoff.	3	The virtuous are defined by acquired moral character, changeable with effort.	4	Access to virtuous friendship is a broad category of social connection.	tlg0086.tlg010	3	Education
tlg0086.tlg010.perseus-eng2#205	tlg0086.tlg010.perseus-eng2	Education	Bad men social exclusion	bad men	Right to disinterested friendship	LESS	[§1041] But clearly only good men can be friends for what they are in themselves; since bad men do not take pleasure in each other, save as they get some advantage from each other. [...] whereas the other forms of friendship are liable to be dissolved by calumny and suspicion.	1	0	Aristotle identifies 'bad men' (those lacking virtue/moral education) as being incapable of a specific immaterial resource: friendship based on the person's inherent self, limiting them to transactional relationships.	9.0	Aristotle	Nicomachean Ethics	-348	4	0	Broad societal group; the author describes a contemporary social observation.	1	Disinterested friendship is a symbolic/social resource, not directly material.	3	Being 'bad' is a character trait, changeable with effort but a durable identity.	3	The right to disinterested friendship is a specific but broadly applicable social resource.	tlg0086.tlg010	3	Education
tlg0057.tlg010.perseus-eng2#59	tlg0057.tlg010.perseus-eng2	Education	Ignorant exclusion from scientific understanding	uneducated people	Ability to comprehend demonstrated truths	LESS	[§39] For I find that a great many things which have been conclusively demonstrated by the Ancients are unintelligible to the bulk of the Moderns owing to their ignorance — nay, that, by reason of their laziness, they will not even make an attempt to comprehend them; and even if any of them have understood them, they have not given them impartial examination.	1	0	Galen posits that a lack of education and 'laziness' (mental discipline) prevents the majority of his contemporaries from accessing the 'conclusively demonstrated' truths of medical science.	9.0	Galen	On the Natural Faculties	164	4	0	Broad societal group defined by education; the author describes contemporary intellectual access.	3	Ability to comprehend truths enables participation in a practice with tangible outcomes.	3	Education is an acquired status, changeable with effort and training.	4	Ability to comprehend demonstrated truths is a broad category of understanding.	tlg0057.tlg010	3	Education
tlg0057.tlg010.perseus-eng2#48	tlg0057.tlg010.perseus-eng2	Education	Exclusion from scientific comprehension	uneducated people	Access to scientific understanding	LESS	[§29-PART 10] For I find that a great many things which have been conclusively demonstrated by the Ancients are unintelligible to the bulk of the Moderns owing to their ignorance — nay, that, by reason of their laziness, they will not even make an attempt to comprehend them... while, as for the others, this book will be as redundant to them as a tale told to an ass.	1	0	Galen explicitly excludes those who lack specific training and natural disposition ('the bulk of the Moderns') from the resource of understanding his work, contrasting them with the 'few' who possess the correct training.	9.0	Galen	On the Natural Faculties	164	4	0	Broad societal group defined by education; the author describes contemporary intellectual access.	3	Access to scientific understanding enables participation in a practice with tangible outcomes.	3	Education is an acquired status, changeable with effort and training.	4	Access to scientific understanding is a broad category of knowledge.	tlg0057.tlg010	3	Education
tlg0086.tlg010.perseus-eng2#153	tlg0086.tlg010.perseus-eng2	Ethnicity	Animal exclusion from action	Animals	Capacity for deliberate action	LESS	[§806] Of these, Sensation never originates action, as is shown by the fact that animals have sensation but are not capable of action.	1	1	While 'Animals' is a biological category, in the context of Greek political and ethical thought, it serves as the primary 'out-group' against which human 'Citizenship' and 'Reason' are defined; the text explicitly denies them the resource of 'praxis' (action).	8.0	Aristotle	Nicomachean Ethics	-348	5	0	Canonical societal group (as an 'out-group'); the author describes a timeless philosophical distinction.	1	Capacity for deliberate action is an internal, abstract trait.	5	Animals are a biologically defined group; membership is strictly immutable.	4	Capacity for deliberate action is a broad human faculty.	tlg0086.tlg010	3	Ethnicity
tlg0086.tlg010.perseus-eng2#164	tlg0086.tlg010.perseus-eng2	Ethnicity	Barbarian propensity for bestiality	Barbarians	Capacity for human virtue	LESS	[§894] so a bestial character is rare among human beings; it is found most frequently among barbarians, and some cases also occur as a result of disease or arrested development.	1	0	Aristotle categorizes 'barbarians' as a group naturally or culturally predisposed to 'bestiality' (a state below human vice), thereby lacking the standard human capacity for moral virtue or restraint described in the text.	9.0	Aristotle	Nicomachean Ethics	-348	5	0	Canonical societal group; the author describes a contemporary cultural distinction.	1	Capacity for human virtue is an internal, abstract, and moral trait.	4	Barbarian status is often tied to birth, ethnicity, or cultural origin, very hard to change.	4	Capacity for human virtue is a broad moral and ethical capacity.	tlg0086.tlg010	3	Ethnicity
tlg0086.tlg035.perseus-eng2#9	tlg0086.tlg035.perseus-eng2	Ethnicity	Greek rule over non-Greeks	Barbarians (non-Greeks)	Right to political self-governance	LESS	[§3] Hence the saying of the poets— ’Tis meet that Greeks should rule barbarians,— implying that barbarian and slave are the same in nature.	1	0	The author cites the prevailing Greek sentiment and poetic convention that justifies the subordination of non-Greeks (barbarians) to Greeks, equating their natural status to that of slaves.	9.0	Aristotle	Politics	-348	5	0	Canonical societal group; Aristotle describes a contemporary view on barbarians.	4	Political self-governance is a concrete legal right with direct material effects on a group's autonomy.	5	Being 'Barbarian' (non-Greek) is a birth-fixed trait based on lineage/ethnicity.	5	Political self-governance is a high-level societal good.	tlg0086.tlg035	3	Ethnicity
tlg0010.tlg019.perseus-eng2#42	tlg0010.tlg019.perseus-eng2	Ethnicity	Hellenic educational superiority	Athens / Hellenes	Access to wisdom and superior speech	MORE	[§293] ...in those qualities by which the nature of man rises above the other animals, and the race of the Hellenes above the barbarians, [§294] namely, in the fact that you have been educated as have been no other people in wisdom and in speech.	1	0	Isocrates identifies the Greeks (and Athenians specifically) as having exclusive or superior access to the immaterial resources of advanced wisdom and rhetorical education, distinguishing them from 'barbarians'.	9.0	Isocrates	Antidosis	-400	5	0	The group is a canonical ethnic category; the author describes a contemporary cultural distinction.	1	Access to wisdom and superior speech are abstract, trait-based resources.	4	Ethnicity/nationality (Hellenes) is a birth-fixed status, very hard to change.	4	Access to wisdom and superior speech are broad categories of intellectual resources.	tlg0010.tlg019	4	Ethnicity
tlg0031.tlg005.perseus-eng2#54	tlg0031.tlg005.perseus-eng2	Ethnicity	Gentile exemption from Mosaic Law	Greeks	Exemption from Jewish ritual law	MORE	[§785] But concerning the Gentiles who believe, we have written our decision that they should observe no such thing, except that they should keep themselves from food offered to idols, from blood, from strangled things, and from sexual immorality.	1	1	The elders explicitly state that while Jews are expected to observe the Law of Moses, the group defined as Gentiles are granted a formal exemption from the full scope of those customs, requiring only a specific subset of prohibitions.	9.0	New Testament		100	5	0	Canonical societal group; the rule describes a contemporary exemption from religious law.	4	Exemption from ritual law is a concrete legal exemption with direct material effects on daily life.	5	Being Greek is an ethnic/national origin, a birth-fixed trait that cannot be changed by choice.	4	Exemption from ritual law is a major recognizable exemption spanning many situations.	tlg0031.tlg005	3	Ethnicity
tlg0028.tlg005.perseus-eng2#6	tlg0028.tlg005.perseus-eng2	Freedom	Public trial for slaves	Slaves	Right to a public trial	MORE	[§48] ...it follows that the slave in question should have had a public trial, instead of being put to death by you without a hearing.	1	1	The speaker argues that even though the individual is a slave, the law or custom requires a public hearing rather than summary execution by private individuals.	9.0	Antiphon	On the Murder of Herodes	-500	5	0	Canonical societal group; the author describes a contemporary legal requirement.	4	Right to a public trial is a concrete legal right with direct material effect on freedom/life.	4	Slave status is a legal/structural birth-status, very hard to change.	3	Right to a public trial is a specific but broadly applicable legal protection.	tlg0028.tlg005	4	Freedom
tlg0028.tlg005.perseus-eng2#5	tlg0028.tlg005.perseus-eng2	Freedom	Slave reward for informing	Slaves	Right to manumission	MORE	[§34] ...As a rule, informers are rewarded with money, if they are free, and with their liberty, if they are slaves.	1	1	The author explicitly states the customary social/legal rule that slaves who provide information (informers) are typically granted their freedom as a reward.	10.0	Antiphon	On the Murder of Herodes	-500	5	0	Canonical societal group; the author describes a contemporary social custom.	5	The right to manumission is a fundamental bodily entitlement and freedom.	4	Slave status is a legal/structural birth-status, very hard to change.	4	Right to manumission is a major recognizable right.	tlg0028.tlg005	4	Freedom
tlg0028.tlg006.perseus-eng2#5	tlg0028.tlg006.perseus-eng2	Freedom	Slaves as legal evidence	Slaves	Right to refuse testimony	LESS	[§27] Suppose that the offer had come from them. Then had I refused to disclose who the eyewitnesses were: had I refused to hand over my servants at their request... they would be claiming that those facts in themselves afforded to my detriment the strongest presumption of the truth of their charge.	1	1	In Athenian law, a master was expected to 'hand over' his slaves (servants) for judicial examination; refusing to do so created a legal presumption of guilt, meaning slaves lacked the right to be withheld from the legal process.	9.0	Antiphon	On the Choreutes	-500	5	0	Canonical societal group; the author describes a contemporary legal expectation.	4	The right to refuse testimony is a concrete legal right with direct material effect.	4	Slavery is a legal status, very hard to change, often hereditary or imposed by conquest.	3	The right to refuse testimony is a specific but broadly applicable legal protection.	tlg0028.tlg006	4	Freedom
tlg0028.tlg006.perseus-eng2#1	tlg0028.tlg006.perseus-eng2	Freedom	Religious purification after killing	Slave owners	Protection from ritual pollution	LESS	[§4] So powerful is the compulsion of the law, that even if a man slays one who is his own chattel and who has none to avenge him, his fear of the ordinances of god and of man causes him to purify himself and withhold himself from those places prescribed by law, in the hope that by so doing he will best avoid disaster.	1	1	Even when killing their own property (a slave), the law and religious norms require the individual to undergo purification and restrict their movement, indicating that ownership does not exempt one from the laws regarding pollution.	9.0	Antiphon	On the Choreutes	-500	3	0	Borderline specific group (slave owners); the author describes a contemporary religious and legal norm.	2	Protection from ritual pollution is a role-based access with weak material payoff.	3	Slave ownership is an acquired status, changeable with effort (e.g., selling slaves).	2	Protection from ritual pollution is tied to a specific religious procedure.	tlg0028.tlg006	4	Freedom
tlg0028.tlg006.perseus-eng2#3	tlg0028.tlg006.perseus-eng2	Freedom	Free men legal questioning	Free men	Protection from torture during legal proceedings	MORE	[§23] Let him take with him as many witnesses as he liked: let him go to the persons who had been present at the accident (I specified them by name): and let him interrogate and cross-examine them. Let him question the free men as befitted free men; for their own sakes and in the interests of justice, they would give a faithful account of what had occurred.	1	1	The text distinguishes the method of obtaining evidence from free men versus slaves; free men are questioned without physical coercion as befits their status.	9.0	Antiphon	On the Choreutes	-500	5	0	Canonical societal group; the author describes a contemporary legal distinction.	5	Protection from torture during legal proceedings is a bodily entitlement.	4	Being a free man is a legal status, often birth-fixed, very hard to change.	3	Protection from torture during legal proceedings is a specific but broadly applicable legal protection.	tlg0028.tlg006	4	Freedom
tlg0719.tlg001.perseus-eng2#13	tlg0719.tlg001.perseus-eng2	Gender	Pre-menstrual female vulnerability to ulcers	girls	Protection from tonsil ulceration	LESS	[§6] and these diseases are familiar to girls until they have their menstrual purgation.	1	1	The author distinguishes a specific demographic group (pre-pubescent girls) as being particularly susceptible to these throat diseases until the biological milestone of menstruation.	9.0	Aretaeus of Cappadocia	On the causes and signs of acute and chronic diseases	135	4	0	Broad societal group (age and gender); the author describes a contemporary medical observation.	3	Protection from tonsil ulceration directly impacts health and bodily function, a tangible outcome.	5	Girls are defined by age and sex, both biologically fixed traits.	1	Protection from tonsil ulceration is hyper-specific to one condition.	tlg0719.tlg001	3	Gender
tlg0557.tlg002.perseus-eng4#7	tlg0557.tlg002.perseus-eng4	Gender	Premarital chastity for men	Men	Freedom of sexual conduct	LESS	[§33] Before marriage, guard yourself with all your ability from unlawful intercourse with women; yet be not uncharitable or severe to those who are led into this, nor frequently boast that you yourself do otherwise.	1	1	Epictetus outlines a behavioral rule for men specifically regarding 'unlawful' sexual activity prior to marriage.	8.0	Epictetus	Enchiridion of Epictetus	85	5	0	Canonical societal group; the rule describes a contemporary moral expectation for men.	1	Freedom of sexual conduct is primarily a matter of personal behavior and moral choice, not direct material effect.	1	Defined by a choice/action (premarital chastity), which is behavioural.	3	Freedom of sexual conduct is a specific but broadly applicable social freedom.	tlg0557.tlg002	3	Gender
tlg1419.tlg001.perseus-eng1#130	tlg1419.tlg001.perseus-eng1	Gender	Maiden maintenance of the tower	Women	Right to perform construction and maintenance	MORE	[§695] [2] ...So he filled up the marks of the stones which had gone into the building, and commanded all round the tower to be swept, and be made clean. [§696] [3] And the maidens took brooms and swept, and they took away all the dirt from the tower and sprinkled water, and the place of the tower became joyful and very beautiful.	1	1	The text describes a regular labor division where 'maidens' (young women) are the ones specifically commanded and empowered to handle the final structural fitting and the purification/cleaning of the tower site.	9.0	Hermas	The Shepherd of Hermas	150	5	0	Canonical societal group based on gender; the author describes a contemporary religious allegory.	3	Performing construction and maintenance is access to a social role with tangible outcomes.	5	Maidens are young women, a sex and age-defined group, biologically fixed.	2	Right to perform construction and maintenance is tied to a particular institution and setting.	tlg1419.tlg001	3	Gender
tlg0627.tlg006.perseus-eng4#14	tlg0627.tlg006.perseus-eng4	Gender	Female specific morbidity	Women	Protection from uterine pain	LESS	[§15] Women have both these symptoms and pains in the womb.	1	1	The author distinguishes women as a group experiencing a specific medical burden (pains in the womb) during these illnesses, representing a lack of protection from gender-specific health complications.	10.0	Hippocrates	Epidemics	-465	5	0	The group 'Women' is a canonical societal group; the author describes contemporary medical observations.	3	Protection from uterine pain has tangible outcomes for bodily comfort and health.	5	Women is a sex-defined group; membership is biologically fixed.	3	Protection from uterine pain is a specific but broadly applicable protection.	tlg0627.tlg006	3	Gender
